Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Medicine;43;Male;PhD;25;Low
Medicine;32;Male;High School;3;None
Education;21;Female;Bachelor's;3;None
Mechanical Engineering;58;Female;Master's;20;Low
Medicine;53;Female;Bachelor's;7;None
Computer Science;58;Male;Master's;24;Medium
Law;44;Female;Bachelor's;20;None
Business;51;Male;PhD;35;None
Arts;57;Female;Master's;2;High
Psychology;40;Female;High School;16;Low
Mechanical Engineering;37;Male;Bachelor's;1;Low
Business;56;Male;Bachelor's;5;Low
Computer Science;36;Female;High School;1;High
Computer Science;28;Male;PhD;22;None
Law;40;Male;High School;27;High
Computer Science;36;Female;Bachelor's;22;Medium
Economics;27;Female;Master's;26;Low
Arts;23;Female;High School;9;Low
Computer Science;38;Male;PhD;9;Low
Education;27;Female;PhD;14;None
Medicine;23;Male;High School;15;Low
Law;23;Female;Bachelor's;35;High
Biology;42;Female;PhD;28;Medium
Mechanical Engineering;36;Female;Bachelor's;16;None
Education;37;Female;High School;18;High
Psychology;39;Male;Bachelor's;21;None
Economics;57;Female;PhD;10;Low
Biology;48;Male;Master's;4;Low
Medicine;46;Male;Master's;20;High
Medicine;40;Female;Bachelor's;30;High
Medicine;33;Female;High School;2;Medium
Arts;52;Male;Bachelor's;7;None
Arts;25;Male;Bachelor's;9;Low
Business;30;Female;Bachelor's;33;High
Law;45;Male;PhD;26;High
Psychology;20;Female;Bachelor's;33;Low
Law;57;Male;Master's;8;None
Computer Science;54;Male;High School;12;High
Biology;32;Male;Master's;36;None
Medicine;24;Female;High School;10;None
Law;32;Female;High School;36;Low
Economics;47;Male;Master's;16;Medium
Arts;28;Male;Master's;16;Medium
Education;56;Female;Bachelor's;8;Medium
Law;40;Female;Master's;4;None
Business;32;Female;Bachelor's;6;Low
Arts;32;Male;High School;6;Low
Medicine;24;Female;PhD;3;Low
Education;53;Female;High School;16;Low
Biology;57;Male;High School;37;Low
Business;51;Male;Master's;30;Low
Business;46;Male;Master's;37;Medium
Law;53;Male;Master's;20;High
Computer Science;27;Male;High School;7;Low
Medicine;58;Female;Bachelor's;8;Medium
Business;59;Male;High School;13;High
Biology;32;Male;PhD;30;None
Computer Science;58;Female;High School;22;High
Economics;43;Female;High School;29;Low
Economics;25;Male;Master's;15;None
Law;45;Male;Bachelor's;8;None
Education;53;Male;PhD;30;None
Computer Science;50;Male;Bachelor's;18;High
Computer Science;39;Male;High School;13;High
Medicine;37;Male;Master's;14;None
Mechanical Engineering;43;Female;Bachelor's;29;High
Computer Science;50;Female;Bachelor's;37;High
Psychology;57;Female;PhD;0;Low
Business;35;Female;High School;30;Low
Biology;20;Female;Bachelor's;25;None
Economics;41;Female;Master's;10;Medium
Psychology;44;Female;High School;31;Medium
Economics;38;Male;Master's;31;Low
Law;27;Male;Master's;12;Medium
Law;51;Male;Bachelor's;20;Low
Law;49;Male;PhD;26;Low
Education;39;Female;PhD;20;Low
Education;38;Female;Bachelor's;18;High
Medicine;57;Female;Master's;19;High
Computer Science;55;Female;Master's;26;High
Psychology;47;Male;Master's;35;Low
Arts;24;Female;High School;30;Medium
Medicine;29;Female;Master's;36;None
Computer Science;21;Female;Bachelor's;31;High
Mechanical Engineering;28;Female;Bachelor's;26;Low
Medicine;34;Female;High School;31;High
Mechanical Engineering;39;Female;High School;24;High
Mechanical Engineering;21;Female;Bachelor's;14;Medium
Education;51;Female;PhD;29;Low
Psychology;35;Male;Bachelor's;16;None
Medicine;35;Female;High School;15;High
Psychology;39;Male;Master's;27;None
Education;29;Male;PhD;19;High
Business;28;Male;Bachelor's;30;Medium
Biology;43;Male;PhD;16;Medium
Arts;31;Female;Bachelor's;15;High
Arts;47;Male;Bachelor's;0;Medium
Law;41;Male;PhD;32;Low
Arts;52;Male;PhD;28;None
Arts;43;Male;Master's;6;High
Psychology;27;Female;Bachelor's;34;Medium
Law;25;Male;PhD;18;Low
Arts;54;Female;High School;1;Low
Medicine;37;Female;Bachelor's;36;None
Business;23;Male;PhD;33;Low
Mechanical Engineering;53;Female;Master's;25;None
Psychology;56;Female;High School;28;None
Psychology;29;Female;Master's;35;None
Medicine;56;Male;Bachelor's;36;Medium
Medicine;41;Male;High School;24;High
Mechanical Engineering;44;Female;PhD;3;Medium
Computer Science;31;Female;High School;7;None
Business;32;Female;PhD;1;Low
Psychology;24;Female;Bachelor's;27;None
Business;52;Female;High School;28;High
Economics;52;Female;Bachelor's;22;High
Biology;29;Female;PhD;22;None
Biology;22;Female;PhD;16;High
Mechanical Engineering;26;Male;Master's;18;Medium
Medicine;56;Female;High School;1;High
Economics;59;Male;PhD;25;Medium
Business;50;Female;PhD;11;Low
Law;20;Male;Bachelor's;32;Medium
Business;59;Male;PhD;21;High
Education;48;Male;Master's;8;Low
Computer Science;26;Female;Master's;13;Low
Business;36;Female;PhD;35;Low
Biology;21;Male;High School;10;None
Education;45;Male;High School;4;None
Education;33;Female;PhD;33;Low
Mechanical Engineering;59;Male;Master's;21;None
Computer Science;39;Male;Bachelor's;38;High
Computer Science;26;Female;High School;8;Low
Psychology;21;Male;PhD;15;Low
Medicine;55;Female;Bachelor's;2;None
Business;49;Male;PhD;10;Medium
Mechanical Engineering;31;Male;PhD;7;Low
Psychology;48;Female;High School;16;Medium
Computer Science;27;Male;Bachelor's;29;None
Arts;23;Female;Master's;29;Medium
Law;32;Female;Master's;36;None
Mechanical Engineering;42;Male;Master's;23;High
Arts;36;Female;PhD;8;Low
Psychology;31;Male;PhD;14;Medium
Law;26;Female;Master's;16;None
Business;25;Female;PhD;37;None
Computer Science;28;Male;Master's;5;High
Biology;48;Female;PhD;17;Low
Medicine;21;Female;Bachelor's;26;None
Mechanical Engineering;32;Male;Bachelor's;34;High
Mechanical Engineering;55;Female;High School;35;Low
Business;20;Female;High School;34;Medium
Business;27;Female;Master's;10;Medium
Medicine;46;Male;Master's;5;Low
Business;21;Female;PhD;13;Low
Mechanical Engineering;50;Female;PhD;27;High
Biology;32;Female;High School;15;None
Education;43;Female;High School;11;None
Education;52;Male;High School;22;None
Law;59;Male;Master's;24;High
Law;29;Male;PhD;32;None
Computer Science;57;Female;PhD;11;Medium
Medicine;53;Female;High School;8;None
Arts;37;Female;PhD;37;Low
Economics;25;Female;PhD;5;High
Education;54;Male;Bachelor's;38;None
Business;59;Female;Master's;20;High
Law;47;Female;PhD;6;High
Education;40;Female;High School;9;Low
Biology;52;Male;High School;35;High
Arts;26;Male;Bachelor's;30;Medium
Mechanical Engineering;26;Male;PhD;30;Medium
Business;28;Male;Bachelor's;39;Low
Medicine;25;Male;High School;18;None
Medicine;29;Female;PhD;5;None
Medicine;36;Male;High School;5;Medium
Biology;45;Male;High School;34;None
Psychology;51;Male;Master's;0;Medium
Computer Science;22;Female;High School;8;None
Economics;36;Male;Bachelor's;16;None
Mechanical Engineering;40;Male;High School;22;Low
Economics;42;Female;High School;0;None
Biology;34;Male;Bachelor's;23;None
Arts;21;Male;Bachelor's;0;None
Computer Science;52;Male;PhD;34;Low
Mechanical Engineering;43;Female;Bachelor's;3;Medium
Psychology;46;Male;High School;22;High
Business;20;Female;PhD;22;High
Education;51;Female;Master's;24;High
Psychology;53;Male;Bachelor's;13;None
Business;55;Female;High School;8;Medium
Mechanical Engineering;40;Female;High School;38;High
Economics;46;Male;High School;28;Medium
Education;36;Female;Bachelor's;18;High
Mechanical Engineering;30;Male;Bachelor's;31;None
Medicine;35;Male;Bachelor's;9;High
Business;54;Female;PhD;25;None
Education;39;Male;High School;27;Low
Law;31;Female;Master's;5;Medium
Biology;28;Female;PhD;28;None
Law;41;Female;High School;1;Low
Biology;58;Male;PhD;31;Low
Mechanical Engineering;49;Male;PhD;36;High
Economics;38;Female;PhD;20;Medium
Psychology;29;Female;PhD;1;Medium
Mechanical Engineering;23;Female;Master's;13;None
Biology;20;Male;Master's;10;Medium
Economics;51;Female;Bachelor's;2;Low
Computer Science;44;Male;PhD;31;Low
Education;38;Female;Master's;30;High
Biology;38;Male;Master's;7;Low
Computer Science;22;Female;High School;5;High
Business;27;Male;High School;10;None
Economics;48;Male;High School;22;Medium
Arts;46;Female;PhD;23;Low
Psychology;59;Male;PhD;38;None
Mechanical Engineering;33;Male;PhD;17;Low
Biology;56;Male;PhD;37;Low
Education;48;Female;PhD;2;None
Law;57;Female;PhD;28;Low
Arts;51;Male;PhD;32;High
Psychology;59;Female;PhD;19;High
Biology;55;Male;High School;27;Medium
Medicine;50;Male;PhD;29;High
Computer Science;58;Male;High School;0;None
Arts;34;Female;High School;13;None
Mechanical Engineering;50;Male;Bachelor's;26;Medium
Biology;26;Female;Master's;36;Medium
Arts;43;Female;Bachelor's;30;Low
Arts;55;Male;Bachelor's;21;None
Medicine;36;Male;PhD;0;None
Business;32;Male;Bachelor's;2;Low
Computer Science;24;Female;Master's;9;Low
Education;40;Male;Bachelor's;12;Low
Biology;59;Male;Bachelor's;24;Low
Biology;28;Female;High School;31;Low
Education;34;Female;High School;20;Medium
Economics;36;Female;PhD;18;High
Mechanical Engineering;57;Male;PhD;15;Low
Law;44;Male;Master's;31;None
Law;28;Male;Bachelor's;36;Medium
Psychology;58;Male;High School;19;High
Mechanical Engineering;37;Female;High School;1;Medium
Biology;37;Male;PhD;1;None
Arts;44;Female;Bachelor's;25;Low
Biology;37;Male;Bachelor's;16;Medium
Economics;57;Male;Master's;32;Low
Mechanical Engineering;38;Female;Master's;13;High
Mechanical Engineering;24;Female;Master's;21;Low
Mechanical Engineering;34;Male;Bachelor's;32;High
Law;49;Male;Master's;35;High
Education;45;Female;PhD;2;Low
Law;25;Female;High School;22;High
Mechanical Engineering;30;Male;Master's;23;Low
Business;50;Female;High School;22;High
Education;47;Male;High School;23;Low
Business;51;Male;High School;31;Medium
Psychology;53;Male;Bachelor's;11;None
Law;22;Female;Bachelor's;16;High
Mechanical Engineering;33;Male;High School;10;High
Psychology;58;Female;Bachelor's;36;Medium
Biology;52;Female;Bachelor's;31;Medium
Arts;27;Male;PhD;9;Medium
Medicine;31;Male;Bachelor's;18;High
Psychology;46;Male;Bachelor's;23;Medium
Education;40;Male;PhD;2;High
Medicine;53;Male;Bachelor's;5;High
Biology;44;Male;Bachelor's;7;Low
Education;40;Female;PhD;13;Medium
Business;27;Female;Master's;30;None
Biology;55;Male;Bachelor's;15;None
Mechanical Engineering;26;Male;PhD;12;High
Business;32;Male;Bachelor's;18;High
Mechanical Engineering;25;Male;Bachelor's;35;High
Arts;31;Female;Bachelor's;20;Low
Business;43;Female;Master's;9;Low
Computer Science;51;Male;Bachelor's;18;Medium
Law;26;Male;Bachelor's;16;None
Business;45;Male;Master's;6;High
Biology;20;Female;PhD;6;Medium
Economics;51;Female;High School;30;None
Education;57;Female;PhD;8;Low
Medicine;37;Female;High School;13;None
Education;59;Male;PhD;12;None
Law;29;Male;PhD;28;Medium
Computer Science;21;Female;High School;5;Medium
Mechanical Engineering;51;Female;Bachelor's;12;None
Biology;44;Female;Master's;8;Medium
Computer Science;47;Male;PhD;36;High
Arts;23;Male;Bachelor's;14;None
Medicine;52;Male;Master's;19;Medium
Business;53;Male;Master's;37;High
Mechanical Engineering;28;Male;High School;39;Low
Biology;51;Female;PhD;10;High
Psychology;46;Female;PhD;6;Low
Medicine;33;Female;Bachelor's;36;Low
Law;30;Male;PhD;30;High
Business;35;Male;Master's;14;Medium
Law;44;Male;Master's;2;Low
Arts;23;Male;High School;11;High
Business;55;Male;PhD;2;Low
Economics;49;Male;High School;13;Low
Biology;58;Male;Master's;23;Low
Economics;43;Male;Master's;7;None
Business;50;Female;PhD;3;High
Medicine;44;Male;PhD;22;None
Education;27;Male;PhD;30;Low
Economics;25;Female;Bachelor's;5;None
Biology;59;Female;PhD;24;Medium
Education;51;Male;Master's;2;Low
Biology;52;Female;Master's;39;High
Computer Science;20;Male;Bachelor's;7;High
Education;44;Male;Master's;36;None
Mechanical Engineering;45;Male;PhD;2;Medium
Arts;20;Male;Bachelor's;23;Medium
Biology;31;Male;PhD;26;None
Business;29;Male;Master's;25;None
Medicine;33;Female;Bachelor's;21;None
Law;58;Male;Bachelor's;23;None
Law;57;Female;Bachelor's;26;None
Law;36;Male;Master's;5;Low
Arts;27;Male;High School;2;High
Computer Science;47;Female;Master's;26;High
Computer Science;42;Male;Bachelor's;35;Medium
Psychology;28;Female;Master's;28;High
Law;44;Female;PhD;34;Medium
Computer Science;28;Female;Master's;39;None
Education;57;Female;Bachelor's;2;None
Computer Science;48;Male;Master's;28;Medium
Computer Science;57;Male;Master's;16;Low
Computer Science;52;Male;Bachelor's;1;None
Mechanical Engineering;34;Male;Master's;37;Medium
Arts;52;Female;Bachelor's;14;Medium
Computer Science;21;Female;Bachelor's;3;Low
Mechanical Engineering;32;Female;Master's;3;High
Business;35;Male;PhD;26;Medium
Computer Science;53;Male;High School;13;Medium
Economics;38;Male;PhD;36;Low
Economics;20;Female;Master's;1;High
Biology;38;Female;PhD;19;None
Psychology;59;Female;PhD;14;Low
Psychology;34;Male;High School;12;Medium
Mechanical Engineering;58;Male;Master's;35;Low
Mechanical Engineering;29;Female;PhD;22;None
Biology;53;Female;Master's;4;High
Law;52;Female;Master's;33;Low
Arts;54;Male;Bachelor's;27;Medium
Biology;24;Male;PhD;24;Medium
Medicine;38;Female;PhD;29;Medium
Mechanical Engineering;20;Female;Master's;3;High
Medicine;43;Male;Master's;7;Medium
Arts;49;Male;Master's;25;Low
Business;31;Male;Master's;37;High
Business;54;Male;High School;6;Low
Business;28;Female;PhD;32;High
Economics;59;Male;Master's;32;Low
Arts;42;Male;Bachelor's;4;High
Law;59;Male;High School;1;High
Psychology;22;Male;Master's;37;High
Psychology;34;Female;High School;32;Medium
Education;40;Male;PhD;5;None
Psychology;30;Female;High School;38;High
Education;40;Male;PhD;25;Medium
Mechanical Engineering;23;Female;Bachelor's;23;None
Law;28;Male;Master's;6;Low
Education;24;Male;Bachelor's;2;High
Economics;46;Male;PhD;12;None
Computer Science;34;Male;Bachelor's;4;Low
Computer Science;54;Female;High School;25;High
Biology;34;Female;High School;6;High
Business;50;Female;Master's;6;None
Mechanical Engineering;22;Male;PhD;5;Low
Mechanical Engineering;39;Male;Bachelor's;30;High
Law;54;Female;PhD;21;None
Medicine;42;Male;High School;18;High
Economics;52;Female;PhD;39;Low
Biology;45;Male;Bachelor's;26;Low
Mechanical Engineering;54;Male;High School;21;Low
Arts;51;Male;Bachelor's;9;Low
Arts;22;Female;High School;16;High
Computer Science;20;Female;Master's;0;None
Law;41;Female;PhD;19;Low
Law;40;Female;Bachelor's;36;Medium
Law;52;Male;Master's;3;High
Economics;43;Male;High School;20;Medium
Medicine;26;Female;PhD;34;Medium
Business;47;Female;High School;13;Medium
Biology;42;Female;Bachelor's;29;Low
Law;38;Male;Bachelor's;7;Medium
Mechanical Engineering;50;Male;High School;2;High
Law;58;Male;Bachelor's;1;High
Medicine;36;Female;High School;38;None
Law;32;Male;Bachelor's;8;High
Law;47;Female;Master's;36;High
Economics;28;Female;Master's;5;High
Biology;39;Male;Master's;32;Low
Education;47;Male;Master's;4;Low
Computer Science;39;Female;Bachelor's;36;Medium
Mechanical Engineering;28;Male;Bachelor's;13;None
Arts;52;Female;Master's;18;Medium
Computer Science;22;Female;High School;15;High
Mechanical Engineering;33;Male;Bachelor's;1;None
Arts;51;Male;High School;27;Medium
Arts;23;Female;Master's;4;High
Business;31;Female;Master's;16;High
Mechanical Engineering;36;Male;PhD;14;None
Computer Science;31;Female;Bachelor's;2;High
Law;47;Female;Bachelor's;28;Medium
Business;37;Male;High School;27;Medium
Economics;48;Male;PhD;34;Low
Economics;58;Female;High School;29;None
Computer Science;24;Female;PhD;5;None
Education;43;Male;Bachelor's;15;Low
Law;20;Male;High School;1;Medium
Economics;47;Male;Master's;12;None
Arts;29;Female;High School;23;High
Business;49;Female;Bachelor's;23;None
Economics;25;Female;Bachelor's;18;Low
Business;32;Female;Master's;9;Medium
Arts;29;Female;High School;8;High
Law;34;Female;Bachelor's;22;Low
Psychology;54;Male;PhD;28;None
Computer Science;26;Male;Bachelor's;17;Low
Computer Science;47;Female;Master's;1;High
Business;40;Female;PhD;23;Medium
Mechanical Engineering;35;Male;Master's;3;High
Psychology;42;Male;High School;31;Medium
Education;30;Male;High School;23;Low
Biology;51;Male;PhD;25;Medium
Mechanical Engineering;58;Male;High School;33;Medium
Education;29;Male;Master's;0;None
Biology;48;Female;PhD;1;High
Arts;40;Male;Bachelor's;11;High
Psychology;30;Male;High School;1;Medium
Arts;34;Female;Master's;5;None
Law;27;Female;Bachelor's;6;Medium
Mechanical Engineering;47;Female;Bachelor's;26;High
Business;48;Female;Master's;6;None
Computer Science;22;Female;High School;13;High
Biology;49;Male;Bachelor's;12;Medium
Business;27;Female;Bachelor's;8;Low
Business;37;Female;High School;29;None
Education;25;Female;PhD;22;None
Biology;47;Female;High School;23;Low
Mechanical Engineering;56;Female;Master's;0;Low
Medicine;38;Male;Bachelor's;22;Medium
Law;38;Female;PhD;39;High
Business;49;Female;Bachelor's;4;High
Psychology;37;Female;Bachelor's;8;None
Computer Science;37;Female;Bachelor's;10;High
Economics;31;Male;Bachelor's;14;High
Education;23;Female;Master's;23;Low
Mechanical Engineering;36;Female;Master's;28;High
Business;21;Female;PhD;39;Medium
Arts;41;Male;Master's;10;High
